Date,Open,High,Low,Close,Adj Close,Volume
2006-12-08,4.000000,4.000000,4.000000,4.000000,4.000000,0
2006-12-11,4.000000,4.000000,4.000000,4.000000,4.000000,0
2006-12-12,4.000000,4.000000,4.000000,4.000000,4.000000,0
2006-12-13,4.000000,4.000000,4.000000,4.000000,4.000000,0
2006-12-14,4.000000,4.000000,4.000000,4.000000,4.000000,0
2006-12-15,4.000000,4.000000,4.000000,4.000000,4.000000,0
2006-12-18,4.000000,4.000000,4.000000,4.000000,4.000000,0
2006-12-19,4.000000,4.000000,4.000000,4.000000,4.000000,0
2006-12-20,4.000000,4.000000,4.000000,4.000000,4.000000,0
2006-12-21,4.000000,4.000000,4.000000,4.000000,4.000000,0
2006-12-22,4.000000,4.000000,4.000000,4.000000,4.000000,0
2006-12-26,4.000000,4.000000,4.000000,4.000000,4.000000,0
2006-12-27,4.000000,4.000000,4.000000,4.000000,4.000000,0
2006-12-28,4.000000,4.000000,4.000000,4.000000,4.000000,0
2006-12-29,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-01-03,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-01-04,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-01-05,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-01-08,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-01-09,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-01-10,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-01-11,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-01-12,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-01-16,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-01-17,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-01-18,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-01-19,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-01-22,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-01-23,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-01-24,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-01-25,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-01-26,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-01-29,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-01-30,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-01-31,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-02-01,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-02-02,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-02-05,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-02-06,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-02-07,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-02-08,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-02-09,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-02-12,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-02-13,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-02-14,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-02-15,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-02-16,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-02-20,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-02-21,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-02-22,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-02-23,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-02-26,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-02-27,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-02-28,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-03-01,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-03-02,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-03-05,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-03-06,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-03-07,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-03-08,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-03-09,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-03-12,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-03-13,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-03-14,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-03-15,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-03-16,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-03-19,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-03-20,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-03-21,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-03-22,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-03-23,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-03-26,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-03-27,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-03-28,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-03-29,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-03-30,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-04-02,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-04-03,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-04-04,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-04-05,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-04-09,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-04-10,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-04-11,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-04-12,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-04-13,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-04-16,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-04-17,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-04-18,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-04-19,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-04-20,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-04-23,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-04-24,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-04-25,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-04-26,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-04-27,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-04-30,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-05-01,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-05-02,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-05-03,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-05-04,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-05-07,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-05-08,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-05-09,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-05-10,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-05-11,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-05-14,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-05-15,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-05-16,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-05-17,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-05-18,4.000000,4.000000,4.000000,4.000000,4.000000,0
2007-05-21,9.000000,9.000000,9.000000,9.000000,9.000000,78
2007-05-22,9.000000,9.000000,9.000000,9.000000,9.000000,0
2007-05-23,9.000000,9.000000,9.000000,9.000000,9.000000,0
2007-05-24,9.000000,9.000000,9.000000,9.000000,9.000000,0
2007-05-25,9.000000,9.000000,9.000000,9.000000,9.000000,0
2007-05-29,9.000000,9.000000,9.000000,9.000000,9.000000,0
2007-05-30,9.000000,9.000000,9.000000,9.000000,9.000000,0
2007-05-31,9.000000,9.000000,9.000000,9.000000,9.000000,0
2007-06-01,9.000000,9.000000,9.000000,9.000000,9.000000,0
2007-06-04,9.000000,9.000000,9.000000,9.000000,9.000000,0
2007-06-05,9.000000,9.000000,9.000000,9.000000,9.000000,0
2007-06-06,9.000000,9.000000,9.000000,9.000000,9.000000,0
2007-06-07,9.000000,9.000000,9.000000,9.000000,9.000000,0
2007-06-08,9.000000,9.000000,9.000000,9.000000,9.000000,0
2007-06-11,9.000000,9.000000,9.000000,9.000000,9.000000,0
2007-06-12,9.000000,9.000000,9.000000,9.000000,9.000000,0
2007-06-13,9.000000,9.000000,9.000000,9.000000,9.000000,0
2007-06-14,9.000000,9.000000,9.000000,9.000000,9.000000,0
2007-06-15,9.000000,9.000000,9.000000,9.000000,9.000000,0
2007-06-18,9.000000,9.000000,9.000000,9.000000,9.000000,0
2007-06-19,9.000000,9.000000,9.000000,9.000000,9.000000,0
2007-06-20,9.000000,9.000000,9.000000,9.000000,9.000000,0
2007-06-21,9.000000,9.000000,9.000000,9.000000,9.000000,0
2007-06-22,9.000000,9.000000,9.000000,9.000000,9.000000,0
2007-06-25,9.000000,9.000000,9.000000,9.000000,9.000000,0
2007-06-26,9.000000,9.000000,9.000000,9.000000,9.000000,0
2007-06-27,9.000000,9.000000,9.000000,9.000000,9.000000,0
2007-06-28,9.000000,9.000000,9.000000,9.000000,9.000000,0
2007-06-29,9.000000,9.000000,9.000000,9.000000,9.000000,0
2007-07-02,9.000000,9.000000,9.000000,9.000000,9.000000,0
2007-07-03,9.000000,9.000000,9.000000,9.000000,9.000000,0
2007-07-05,9.000000,9.000000,9.000000,9.000000,9.000000,0
2007-07-06,9.000000,9.000000,9.000000,9.000000,9.000000,0
2007-07-09,9.000000,9.000000,9.000000,9.000000,9.000000,0
2007-07-10,9.000000,9.000000,9.000000,9.000000,9.000000,0
2007-07-11,9.000000,9.000000,9.000000,9.000000,9.000000,0
2007-07-12,9.000000,9.000000,9.000000,9.000000,9.000000,0
2007-07-13,9.000000,9.000000,9.000000,9.000000,9.000000,0
2007-07-16,4.500000,4.500000,4.500000,4.500000,4.500000,2
2007-07-17,4.500000,4.500000,4.500000,4.500000,4.500000,0
2007-07-18,4.500000,4.500000,4.500000,4.500000,4.500000,0
2007-07-19,4.500000,4.500000,4.500000,4.500000,4.500000,0
2007-07-20,4.500000,4.500000,4.500000,4.500000,4.500000,0
2007-07-23,4.500000,4.500000,4.500000,4.500000,4.500000,0
2007-07-24,4.500000,4.500000,4.500000,4.500000,4.500000,0
2007-07-25,4.500000,4.500000,4.500000,4.500000,4.500000,0
2007-07-26,4.500000,4.500000,4.500000,4.500000,4.500000,0
2007-07-27,4.500000,4.500000,4.500000,4.500000,4.500000,0
2007-07-30,4.500000,4.500000,4.500000,4.500000,4.500000,0
2007-07-31,4.500000,4.500000,4.500000,4.500000,4.500000,0
2007-08-01,4.500000,4.500000,4.500000,4.500000,4.500000,0
2007-08-02,4.500000,4.500000,4.500000,4.500000,4.500000,0
2007-08-03,4.500000,4.500000,4.500000,4.500000,4.500000,0
2007-08-06,4.500000,4.500000,4.500000,4.500000,4.500000,0
2007-08-07,4.500000,4.500000,4.500000,4.500000,4.500000,0
2007-08-08,4.500000,4.500000,4.500000,4.500000,4.500000,0
2007-08-09,4.500000,4.500000,4.500000,4.500000,4.500000,0
2007-08-10,4.500000,4.500000,4.500000,4.500000,4.500000,0
2007-08-13,4.500000,4.500000,4.500000,4.500000,4.500000,0
2007-08-14,4.500000,4.500000,4.500000,4.500000,4.500000,0
2007-08-15,null,null,null,null,null,null
2007-08-16,null,null,null,null,null,null
2007-08-17,null,null,null,null,null,null
2007-08-20,null,null,null,null,null,null
2007-08-21,null,null,null,null,null,null
2007-08-22,null,null,null,null,null,null
2007-08-23,null,null,null,null,null,null
2007-08-24,null,null,null,null,null,null
2007-08-27,null,null,null,null,null,null
2007-08-28,null,null,null,null,null,null
2007-08-29,null,null,null,null,null,null
2007-08-30,null,null,null,null,null,null
2007-08-31,null,null,null,null,null,null
2007-09-04,null,null,null,null,null,null
2007-09-05,null,null,null,null,null,null
2007-09-06,null,null,null,null,null,null
2007-09-07,null,null,null,null,null,null
2007-09-10,null,null,null,null,null,null
2007-09-11,null,null,null,null,null,null
2007-09-12,null,null,null,null,null,null
2007-09-13,null,null,null,null,null,null
2007-09-14,null,null,null,null,null,null
2007-09-17,null,null,null,null,null,null
2007-09-18,null,null,null,null,null,null
2007-09-19,null,null,null,null,null,null
2007-09-20,null,null,null,null,null,null
2007-09-21,null,null,null,null,null,null
2007-09-24,null,null,null,null,null,null
2007-09-25,null,null,null,null,null,null
2007-09-26,null,null,null,null,null,null
2007-09-27,null,null,null,null,null,null
2007-09-28,null,null,null,null,null,null
2007-10-01,null,null,null,null,null,null
2007-10-02,null,null,null,null,null,null
2007-10-03,null,null,null,null,null,null
2007-10-04,null,null,null,null,null,null
2007-10-05,null,null,null,null,null,null
2007-10-08,null,null,null,null,null,null
2007-10-09,null,null,null,null,null,null
2007-10-10,null,null,null,null,null,null
2007-10-11,null,null,null,null,null,null
2007-10-12,null,null,null,null,null,null
2007-10-15,null,null,null,null,null,null
2007-10-16,null,null,null,null,null,null
2007-10-17,null,null,null,null,null,null
2007-10-18,null,null,null,null,null,null
2007-10-19,null,null,null,null,null,null
2007-10-22,null,null,null,null,null,null
2007-10-23,null,null,null,null,null,null
2007-10-24,null,null,null,null,null,null
2007-10-25,null,null,null,null,null,null
2007-10-26,null,null,null,null,null,null
2007-10-29,null,null,null,null,null,null
2007-10-30,null,null,null,null,null,null
2007-10-31,null,null,null,null,null,null
2007-11-01,null,null,null,null,null,null
2007-11-02,null,null,null,null,null,null
2007-11-05,null,null,null,null,null,null
2007-11-06,null,null,null,null,null,null
2007-11-07,null,null,null,null,null,null
2007-11-08,null,null,null,null,null,null
2007-11-09,null,null,null,null,null,null
2007-11-12,null,null,null,null,null,null
2007-11-13,null,null,null,null,null,null
2007-11-14,null,null,null,null,null,null
2007-11-15,null,null,null,null,null,null
2007-11-16,null,null,null,null,null,null
2007-11-19,null,null,null,null,null,null
2007-11-20,null,null,null,null,null,null
2007-11-21,null,null,null,null,null,null
2007-11-23,null,null,null,null,null,null
2007-11-26,null,null,null,null,null,null
2007-11-27,null,null,null,null,null,null
2007-11-28,null,null,null,null,null,null
2007-11-29,null,null,null,null,null,null
2007-11-30,null,null,null,null,null,null
2007-12-03,null,null,null,null,null,null
2007-12-04,null,null,null,null,null,null
2007-12-05,null,null,null,null,null,null
2007-12-06,null,null,null,null,null,null
2007-12-07,null,null,null,null,null,null
2007-12-10,null,null,null,null,null,null
2007-12-11,null,null,null,null,null,null
2007-12-12,null,null,null,null,null,null
2007-12-13,null,null,null,null,null,null
2007-12-14,null,null,null,null,null,null
2007-12-17,null,null,null,null,null,null
2007-12-18,null,null,null,null,null,null
2007-12-19,null,null,null,null,null,null
2007-12-20,null,null,null,null,null,null
2007-12-21,null,null,null,null,null,null
2007-12-24,null,null,null,null,null,null
2007-12-26,null,null,null,null,null,null
2007-12-27,null,null,null,null,null,null
2007-12-28,null,null,null,null,null,null
2007-12-31,null,null,null,null,null,null
2008-01-02,null,null,null,null,null,null
2008-01-03,null,null,null,null,null,null
2008-01-04,null,null,null,null,null,null
2008-01-07,null,null,null,null,null,null
2008-01-08,null,null,null,null,null,null
2008-01-09,null,null,null,null,null,null
2008-01-10,null,null,null,null,null,null
2008-01-11,null,null,null,null,null,null
2008-01-14,null,null,null,null,null,null
2008-01-15,null,null,null,null,null,null
2008-01-16,null,null,null,null,null,null
2008-01-17,null,null,null,null,null,null
2008-01-18,null,null,null,null,null,null
2008-01-22,null,null,null,null,null,null
2008-01-23,null,null,null,null,null,null
2008-01-24,null,null,null,null,null,null
2008-01-25,null,null,null,null,null,null
2008-01-28,null,null,null,null,null,null
2008-01-29,null,null,null,null,null,null
2008-01-30,null,null,null,null,null,null
2008-01-31,null,null,null,null,null,null
2008-02-01,null,null,null,null,null,null
2008-02-04,null,null,null,null,null,null
2008-02-05,null,null,null,null,null,null
2008-02-06,null,null,null,null,null,null
2008-02-07,null,null,null,null,null,null
2008-02-08,null,null,null,null,null,null
2008-02-11,null,null,null,null,null,null
2008-02-12,null,null,null,null,null,null
2008-02-13,null,null,null,null,null,null
2008-02-14,null,null,null,null,null,null
2008-02-15,null,null,null,null,null,null
2008-02-19,null,null,null,null,null,null
2008-02-20,null,null,null,null,null,null
2008-02-21,null,null,null,null,null,null
2008-02-22,null,null,null,null,null,null
2008-02-25,null,null,null,null,null,null
2008-02-26,null,null,null,null,null,null
2008-02-27,null,null,null,null,null,null
2008-02-28,null,null,null,null,null,null
2008-02-29,null,null,null,null,null,null
2008-03-03,null,null,null,null,null,null
2008-03-04,null,null,null,null,null,null
2008-03-05,null,null,null,null,null,null
2008-03-06,null,null,null,null,null,null
2008-03-07,null,null,null,null,null,null
2008-03-10,null,null,null,null,null,null
2008-03-11,null,null,null,null,null,null
2008-03-12,null,null,null,null,null,null
2008-03-13,null,null,null,null,null,null
2008-03-14,null,null,null,null,null,null
2008-03-17,null,null,null,null,null,null
2008-03-18,null,null,null,null,null,null
2008-03-19,null,null,null,null,null,null
2008-03-20,null,null,null,null,null,null
2008-03-24,null,null,null,null,null,null
2008-03-25,null,null,null,null,null,null
2008-03-26,null,null,null,null,null,null
2008-03-27,null,null,null,null,null,null
2008-03-28,null,null,null,null,null,null
2008-03-31,null,null,null,null,null,null
2008-04-01,null,null,null,null,null,null
2008-04-02,null,null,null,null,null,null
2008-04-03,null,null,null,null,null,null
2008-04-04,null,null,null,null,null,null
2008-04-07,null,null,null,null,null,null
2008-04-08,null,null,null,null,null,null
2008-04-09,null,null,null,null,null,null
2008-04-10,null,null,null,null,null,null
2008-04-11,null,null,null,null,null,null
2008-04-14,null,null,null,null,null,null
2008-04-15,null,null,null,null,null,null
2008-04-16,null,null,null,null,null,null
2008-04-17,null,null,null,null,null,null
2008-04-18,null,null,null,null,null,null
2008-04-21,null,null,null,null,null,null
2008-04-22,null,null,null,null,null,null
2008-04-23,null,null,null,null,null,null
2008-04-24,null,null,null,null,null,null
2008-04-25,null,null,null,null,null,null
2008-04-28,null,null,null,null,null,null
2008-04-29,null,null,null,null,null,null
2008-04-30,null,null,null,null,null,null
2008-05-01,null,null,null,null,null,null
2008-05-02,null,null,null,null,null,null
2008-05-05,null,null,null,null,null,null
2008-05-06,null,null,null,null,null,null
2008-05-07,null,null,null,null,null,null
2008-05-08,null,null,null,null,null,null
2008-05-09,null,null,null,null,null,null
2008-05-12,null,null,null,null,null,null
2008-05-13,null,null,null,null,null,null
2008-05-14,null,null,null,null,null,null
2008-05-15,null,null,null,null,null,null
2008-05-16,null,null,null,null,null,null
2008-05-19,null,null,null,null,null,null
2008-05-20,null,null,null,null,null,null
2008-05-21,null,null,null,null,null,null
2008-05-22,null,null,null,null,null,null
2008-05-23,null,null,null,null,null,null
2008-05-27,null,null,null,null,null,null
2008-05-28,null,null,null,null,null,null
2008-05-29,null,null,null,null,null,null
2008-05-30,null,null,null,null,null,null
2008-06-02,null,null,null,null,null,null
2008-06-03,null,null,null,null,null,null
2008-06-04,null,null,null,null,null,null
2008-06-05,null,null,null,null,null,null
2008-06-06,null,null,null,null,null,null
2008-06-09,null,null,null,null,null,null
2008-06-10,null,null,null,null,null,null
2008-06-11,null,null,null,null,null,null
2008-06-12,null,null,null,null,null,null
2008-06-13,null,null,null,null,null,null
2008-06-16,null,null,null,null,null,null
2008-06-17,null,null,null,null,null,null
2008-06-18,null,null,null,null,null,null
2008-06-19,null,null,null,null,null,null
2008-06-20,null,null,null,null,null,null
2008-06-23,null,null,null,null,null,null
2008-06-24,null,null,null,null,null,null
2008-06-25,null,null,null,null,null,null
2008-06-26,null,null,null,null,null,null
2008-06-27,null,null,null,null,null,null
2008-06-30,null,null,null,null,null,null
2008-07-01,null,null,null,null,null,null
2008-07-02,null,null,null,null,null,null
2008-07-03,null,null,null,null,null,null
2008-07-07,null,null,null,null,null,null
2008-07-08,null,null,null,null,null,null
2008-07-09,null,null,null,null,null,null
2008-07-10,null,null,null,null,null,null
2008-07-11,null,null,null,null,null,null
2008-07-14,null,null,null,null,null,null
2008-07-15,null,null,null,null,null,null
2008-07-16,null,null,null,null,null,null
2008-07-17,null,null,null,null,null,null
2008-07-18,null,null,null,null,null,null
2008-07-21,null,null,null,null,null,null
2008-07-22,null,null,null,null,null,null
2008-07-23,null,null,null,null,null,null
2008-07-24,null,null,null,null,null,null
2008-07-25,null,null,null,null,null,null
2008-07-28,null,null,null,null,null,null
2008-07-29,null,null,null,null,null,null
2008-07-30,null,null,null,null,null,null
2008-07-31,null,null,null,null,null,null
2008-08-01,null,null,null,null,null,null
2008-08-04,null,null,null,null,null,null
2008-08-05,null,null,null,null,null,null
2008-08-06,null,null,null,null,null,null
2008-08-07,null,null,null,null,null,null
2008-08-08,null,null,null,null,null,null
2008-08-11,null,null,null,null,null,null
2008-08-12,null,null,null,null,null,null
2008-08-13,null,null,null,null,null,null
2008-08-14,null,null,null,null,null,null
2008-08-15,null,null,null,null,null,null
2008-08-18,null,null,null,null,null,null
2008-08-19,null,null,null,null,null,null
2008-08-20,null,null,null,null,null,null
2008-08-21,null,null,null,null,null,null
2008-08-22,null,null,null,null,null,null
2008-08-25,null,null,null,null,null,null
2008-08-26,null,null,null,null,null,null
2008-08-27,null,null,null,null,null,null
2008-08-28,34.000000,34.000000,34.000000,34.000000,34.000000,2
2008-08-29,34.000000,34.000000,34.000000,34.000000,34.000000,0
2008-09-02,34.000000,34.000000,34.000000,34.000000,34.000000,0
2008-09-03,34.000000,34.000000,34.000000,34.000000,34.000000,0
2008-09-04,34.000000,34.000000,34.000000,34.000000,34.000000,0
2008-09-05,34.000000,34.000000,34.000000,34.000000,34.000000,0
2008-09-08,34.000000,34.000000,34.000000,34.000000,34.000000,0
2008-09-09,34.000000,34.000000,34.000000,34.000000,34.000000,0
2008-09-10,34.000000,34.000000,34.000000,34.000000,34.000000,0
2008-09-11,34.000000,34.000000,34.000000,34.000000,34.000000,0
2008-09-12,34.000000,34.000000,34.000000,34.000000,34.000000,0
2008-09-15,34.000000,34.000000,34.000000,34.000000,34.000000,0
2008-09-16,34.000000,34.000000,34.000000,34.000000,34.000000,0
2008-09-17,34.000000,34.000000,34.000000,34.000000,34.000000,0
2008-09-18,34.000000,34.000000,34.000000,34.000000,34.000000,0
2008-09-19,34.000000,34.000000,34.000000,34.000000,34.000000,0
2008-09-22,34.000000,34.000000,34.000000,34.000000,34.000000,0
2008-09-23,34.000000,34.000000,34.000000,34.000000,34.000000,0
2008-09-24,34.000000,34.000000,34.000000,34.000000,34.000000,0
2008-09-25,34.000000,34.000000,34.000000,34.000000,34.000000,0
2008-09-26,34.000000,34.000000,34.000000,34.000000,34.000000,0
2008-09-29,34.000000,34.000000,34.000000,34.000000,34.000000,0
2008-09-30,34.000000,34.000000,34.000000,34.000000,34.000000,0
2008-10-01,34.000000,34.000000,34.000000,34.000000,34.000000,0
2008-10-02,34.000000,34.000000,34.000000,34.000000,34.000000,0
2008-10-03,34.000000,34.000000,34.000000,34.000000,34.000000,0
2008-10-06,34.000000,34.000000,34.000000,34.000000,34.000000,0
2008-10-07,34.000000,34.000000,34.000000,34.000000,34.000000,0
2008-10-08,34.000000,34.000000,34.000000,34.000000,34.000000,0
2008-10-09,34.000000,34.000000,34.000000,34.000000,34.000000,0
2008-10-10,34.000000,34.000000,34.000000,34.000000,34.000000,0
2008-10-13,34.000000,34.000000,34.000000,34.000000,34.000000,0
2008-10-14,34.000000,34.000000,34.000000,34.000000,34.000000,0
2008-10-15,34.000000,34.000000,34.000000,34.000000,34.000000,0
2008-10-16,34.000000,34.000000,34.000000,34.000000,34.000000,0
2008-10-17,34.000000,34.000000,34.000000,34.000000,34.000000,0
2008-10-20,34.000000,34.000000,34.000000,34.000000,34.000000,0
2008-10-21,34.000000,34.000000,34.000000,34.000000,34.000000,0
2008-10-22,34.000000,34.000000,34.000000,34.000000,34.000000,0
2008-10-23,34.000000,34.000000,34.000000,34.000000,34.000000,0
2008-10-24,34.000000,34.000000,34.000000,34.000000,34.000000,0
2008-10-27,34.000000,34.000000,34.000000,34.000000,34.000000,0
