Date,Open,High,Low,Close,Adj Close,Volume
2014-12-05,15.000000,15.000000,15.000000,15.000000,15.000000,0
2014-12-08,15.000000,15.000000,15.000000,15.000000,15.000000,0
2014-12-09,15.000000,15.000000,15.000000,15.000000,15.000000,0
2014-12-10,15.000000,15.000000,15.000000,15.000000,15.000000,0
2014-12-11,15.000000,15.000000,15.000000,15.000000,15.000000,0
2014-12-12,15.000000,15.000000,15.000000,15.000000,15.000000,0
2014-12-15,15.000000,15.000000,15.000000,15.000000,15.000000,0
2014-12-16,15.000000,15.000000,15.000000,15.000000,15.000000,0
2014-12-17,15.000000,15.000000,15.000000,15.000000,15.000000,0
2014-12-18,15.000000,15.000000,15.000000,15.000000,15.000000,0
2014-12-19,15.000000,15.000000,15.000000,15.000000,15.000000,0
2014-12-22,15.000000,15.000000,15.000000,15.000000,15.000000,0
2014-12-23,15.000000,15.000000,15.000000,15.000000,15.000000,0
2014-12-24,15.000000,15.000000,15.000000,15.000000,15.000000,0
2014-12-26,15.000000,15.000000,15.000000,15.000000,15.000000,0
2014-12-29,15.000000,15.000000,15.000000,15.000000,15.000000,0
2014-12-30,15.000000,15.000000,15.000000,15.000000,15.000000,0
2014-12-31,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-01-02,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-01-05,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-01-06,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-01-07,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-01-08,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-01-09,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-01-12,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-01-13,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-01-14,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-01-15,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-01-16,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-01-20,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-01-21,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-01-22,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-01-23,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-01-26,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-01-27,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-01-28,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-01-29,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-01-30,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-02-02,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-02-03,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-02-04,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-02-05,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-02-06,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-02-09,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-02-10,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-02-11,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-02-12,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-02-13,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-02-17,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-02-18,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-02-19,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-02-20,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-02-23,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-02-24,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-02-25,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-02-26,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-02-27,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-03-02,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-03-03,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-03-04,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-03-05,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-03-06,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-03-09,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-03-10,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-03-11,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-03-12,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-03-13,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-03-16,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-03-17,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-03-18,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-03-19,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-03-20,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-03-23,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-03-24,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-03-25,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-03-26,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-03-27,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-03-30,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-03-31,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-04-01,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-04-02,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-04-06,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-04-07,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-04-08,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-04-09,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-04-10,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-04-13,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-04-14,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-04-15,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-04-16,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-04-17,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-04-20,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-04-21,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-04-22,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-04-23,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-04-24,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-04-27,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-04-28,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-04-29,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-04-30,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-05-01,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-05-04,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-05-05,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-05-06,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-05-07,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-05-08,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-05-11,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-05-12,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-05-13,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-05-14,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-05-15,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-05-18,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-05-19,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-05-20,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-05-21,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-05-22,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-05-26,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-05-27,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-05-28,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-05-29,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-06-01,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-06-02,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-06-03,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-06-04,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-06-05,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-06-08,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-06-09,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-06-10,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-06-11,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-06-12,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-06-15,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-06-16,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-06-17,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-06-18,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-06-19,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-06-22,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-06-23,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-06-24,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-06-25,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-06-26,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-06-29,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-06-30,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-07-01,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-07-02,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-07-06,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-07-07,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-07-08,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-07-09,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-07-10,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-07-13,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-07-14,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-07-15,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-07-16,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-07-17,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-07-20,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-07-21,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-07-22,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-07-23,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-07-24,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-07-27,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-07-28,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-07-29,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-07-30,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-07-31,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-08-03,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-08-04,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-08-05,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-08-06,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-08-07,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-08-10,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-08-11,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-08-12,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-08-13,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-08-14,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-08-17,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-08-18,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-08-19,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-08-20,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-08-21,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-08-24,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-08-25,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-08-26,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-08-27,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-08-28,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-08-31,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-09-01,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-09-02,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-09-03,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-09-04,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-09-08,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-09-09,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-09-10,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-09-11,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-09-14,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-09-15,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-09-16,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-09-17,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-09-18,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-09-21,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-09-22,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-09-23,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-09-24,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-09-25,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-09-28,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-09-29,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-09-30,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-10-01,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-10-02,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-10-05,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-10-06,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-10-07,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-10-08,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-10-09,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-10-12,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-10-13,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-10-14,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-10-15,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-10-16,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-10-19,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-10-20,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-10-21,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-10-22,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-10-23,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-10-26,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-10-27,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-10-28,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-10-29,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-10-30,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-11-02,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-11-03,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-11-04,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-11-05,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-11-06,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-11-09,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-11-10,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-11-11,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-11-12,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-11-13,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-11-16,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-11-17,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-11-18,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-11-19,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-11-20,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-11-23,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-11-24,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-11-25,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-11-27,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-11-30,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-12-01,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-12-02,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-12-03,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-12-04,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-12-07,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-12-08,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-12-09,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-12-10,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-12-11,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-12-14,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-12-15,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-12-16,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-12-17,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-12-18,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-12-21,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-12-22,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-12-23,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-12-24,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-12-28,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-12-29,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-12-30,15.000000,15.000000,15.000000,15.000000,15.000000,0
2015-12-31,15.000000,15.000000,15.000000,15.000000,15.000000,0
2016-01-04,15.000000,15.000000,15.000000,15.000000,15.000000,0
2016-01-05,15.000000,15.000000,15.000000,15.000000,15.000000,0
2016-01-06,15.000000,15.000000,15.000000,15.000000,15.000000,0
2016-01-07,15.000000,15.000000,15.000000,15.000000,15.000000,0
2016-01-08,15.000000,15.000000,15.000000,15.000000,15.000000,0
2016-01-11,15.000000,15.000000,15.000000,15.000000,15.000000,0
2016-01-12,15.000000,15.000000,15.000000,15.000000,15.000000,0
