Date,Open,High,Low,Close,Adj Close,Volume
2020-04-22,0.330000,0.330000,0.330000,0.330000,0.330000,0
2020-04-23,0.330000,0.330000,0.330000,0.330000,0.330000,0
2020-04-24,0.330000,0.330000,0.330000,0.330000,0.330000,0
2020-04-27,0.330000,0.330000,0.330000,0.330000,0.330000,0
2020-04-28,0.330000,0.330000,0.330000,0.330000,0.330000,0
2020-04-29,0.374000,0.374000,0.374000,0.374000,0.374000,31000
2020-04-30,0.374000,0.374000,0.374000,0.374000,0.374000,0
2020-05-01,0.330000,0.330000,0.330000,0.330000,0.330000,10000
2020-05-04,0.330000,0.330000,0.330000,0.330000,0.330000,0
2020-05-05,0.330000,0.330000,0.330000,0.330000,0.330000,0
2020-05-06,0.330000,0.330000,0.330000,0.330000,0.330000,0
2020-05-07,0.330000,0.330000,0.330000,0.330000,0.330000,0
2020-05-08,0.330000,0.330000,0.330000,0.330000,0.330000,0
2020-05-11,0.550000,0.550000,0.550000,0.550000,0.550000,200
2020-05-12,0.550000,0.550000,0.550000,0.550000,0.550000,0
2020-05-13,0.400000,0.400000,0.400000,0.400000,0.400000,500
2020-05-14,0.400000,0.400000,0.400000,0.400000,0.400000,0
2020-05-15,0.400000,0.400000,0.400000,0.400000,0.400000,0
2020-05-18,0.400000,0.400000,0.400000,0.400000,0.400000,0
2020-05-19,0.400000,0.400000,0.400000,0.400000,0.400000,0
2020-05-20,0.400000,0.400000,0.400000,0.400000,0.400000,1538
2020-05-21,0.400000,0.400000,0.400000,0.400000,0.400000,0
2020-05-22,0.400000,0.400000,0.400000,0.400000,0.400000,0
2020-05-26,0.400000,0.400000,0.400000,0.400000,0.400000,0
2020-05-27,0.400000,0.400000,0.400000,0.400000,0.400000,10000
2020-05-28,0.400000,0.400000,0.400000,0.400000,0.400000,0
2020-05-29,0.400000,0.400000,0.400000,0.400000,0.400000,0
2020-06-01,0.400000,0.400000,0.400000,0.400000,0.400000,0
2020-06-02,0.400000,0.400000,0.400000,0.400000,0.400000,0
2020-06-03,0.399000,0.399000,0.399000,0.399000,0.399000,200
2020-06-04,0.450000,0.450000,0.450000,0.450000,0.450000,10000
2020-06-05,0.350000,0.350000,0.350000,0.350000,0.350000,3333
2020-06-08,0.350000,0.350000,0.350000,0.350000,0.350000,0
2020-06-09,0.350000,0.350000,0.350000,0.350000,0.350000,0
2020-06-10,0.350000,0.350000,0.350000,0.350000,0.350000,0
2020-06-11,0.350000,0.350000,0.350000,0.350000,0.350000,0
2020-06-12,0.350000,0.350000,0.350000,0.350000,0.350000,0
2020-06-15,0.350000,0.350000,0.350000,0.350000,0.350000,0
2020-06-16,0.350000,0.350000,0.350000,0.350000,0.350000,0
2020-06-17,0.400000,0.400000,0.400000,0.400000,0.400000,100
2020-06-18,0.440000,0.440000,0.440000,0.440000,0.440000,200
2020-06-19,0.440000,0.440000,0.440000,0.440000,0.440000,0
2020-06-22,0.440000,0.440000,0.440000,0.440000,0.440000,0
2020-06-23,0.440000,0.440000,0.440000,0.440000,0.440000,0
2020-06-24,0.440000,0.440000,0.440000,0.440000,0.440000,0
2020-06-25,0.440000,0.440000,0.440000,0.440000,0.440000,0
2020-06-26,0.440000,0.440000,0.440000,0.440000,0.440000,0
2020-06-29,0.450000,0.450000,0.450000,0.450000,0.450000,3372
2020-06-30,0.450000,0.450000,0.450000,0.450000,0.450000,0
2020-07-01,0.450000,0.450000,0.450000,0.450000,0.450000,0
2020-07-02,0.450000,0.450000,0.450000,0.450000,0.450000,0
2020-07-06,0.450000,0.450000,0.450000,0.450000,0.450000,0
2020-07-07,0.460000,0.460000,0.460000,0.460000,0.460000,3000
2020-07-08,0.460000,0.460000,0.460000,0.460000,0.460000,0
2020-07-09,0.460000,0.460000,0.460000,0.460000,0.460000,0
2020-07-10,0.460000,0.460000,0.460000,0.460000,0.460000,0
2020-07-13,0.460000,0.460000,0.460000,0.460000,0.460000,0
2020-07-14,0.460000,0.460000,0.460000,0.460000,0.460000,0
2020-07-15,0.460000,0.460000,0.460000,0.460000,0.460000,0
2020-07-16,0.460000,0.460000,0.460000,0.460000,0.460000,0
2020-07-17,0.460000,0.460000,0.460000,0.460000,0.460000,0
2020-07-20,0.450000,0.450000,0.450000,0.450000,0.450000,2570
2020-07-21,0.450000,0.450000,0.450000,0.450000,0.450000,0
2020-07-22,0.450000,0.450000,0.450000,0.450000,0.450000,0
2020-07-23,0.450000,0.450000,0.450000,0.450000,0.450000,0
2020-07-24,0.450000,0.450000,0.450000,0.450000,0.450000,0
2020-07-27,0.450000,0.450000,0.450000,0.450000,0.450000,0
2020-07-28,0.450000,0.450000,0.450000,0.450000,0.450000,0
2020-07-29,0.450000,0.450000,0.450000,0.450000,0.450000,0
2020-07-30,0.450000,0.450000,0.450000,0.450000,0.450000,0
2020-07-31,0.450000,0.450000,0.450000,0.450000,0.450000,0
2020-08-03,0.450000,0.450000,0.450000,0.450000,0.450000,0
2020-08-04,0.450000,0.450000,0.450000,0.450000,0.450000,0
2020-08-05,0.450000,0.450000,0.450000,0.450000,0.450000,0
2020-08-06,0.450000,0.450000,0.450000,0.450000,0.450000,0
2020-08-07,0.450000,0.450000,0.450000,0.450000,0.450000,0
2020-08-10,0.440000,0.440000,0.440000,0.440000,0.440000,500
2020-08-11,0.440000,0.440000,0.440000,0.440000,0.440000,0
2020-08-12,0.440000,0.440000,0.440000,0.440000,0.440000,0
2020-08-13,0.440000,0.440000,0.440000,0.440000,0.440000,0
2020-08-14,0.440000,0.440000,0.440000,0.440000,0.440000,0
2020-08-17,0.440000,0.440000,0.440000,0.440000,0.440000,0
2020-08-18,0.440000,0.440000,0.440000,0.440000,0.440000,0
2020-08-19,0.440000,0.440000,0.440000,0.440000,0.440000,0
2020-08-20,0.440000,0.440000,0.440000,0.440000,0.440000,1000
2020-08-21,0.440000,0.440000,0.440000,0.440000,0.440000,0
2020-08-24,0.440000,0.440000,0.440000,0.440000,0.440000,0
2020-08-25,0.440000,0.440000,0.440000,0.440000,0.440000,0
2020-08-26,0.440000,0.440000,0.440000,0.440000,0.440000,2500
2020-08-27,0.440000,0.440000,0.440000,0.440000,0.440000,0
2020-08-28,0.440000,0.440000,0.440000,0.440000,0.440000,0
2020-08-31,0.440000,0.440000,0.440000,0.440000,0.440000,0
2020-09-01,0.350000,0.350000,0.350000,0.350000,0.350000,5000
2020-09-02,0.350000,0.350000,0.350000,0.350000,0.350000,0
2020-09-03,0.400000,0.400000,0.400000,0.400000,0.400000,3500
2020-09-04,0.400000,0.400000,0.400000,0.400000,0.400000,0
2020-09-08,0.400000,0.400000,0.400000,0.400000,0.400000,0
2020-09-09,0.400000,0.400000,0.400000,0.400000,0.400000,0
2020-09-10,0.400000,0.400000,0.400000,0.400000,0.400000,0
2020-09-11,0.400000,0.400000,0.400000,0.400000,0.400000,0
2020-09-14,0.365000,0.365000,0.365000,0.365000,0.365000,8000
2020-09-15,0.365000,0.365000,0.365000,0.365000,0.365000,0
2020-09-16,0.365000,0.365000,0.365000,0.365000,0.365000,0
2020-09-17,0.365000,0.365000,0.365000,0.365000,0.365000,0
2020-09-18,0.365000,0.365000,0.365000,0.365000,0.365000,0
2020-09-21,0.365000,0.365000,0.365000,0.365000,0.365000,0
2020-09-22,0.365000,0.365000,0.365000,0.365000,0.365000,0
2020-09-23,0.365000,0.365000,0.365000,0.365000,0.365000,0
2020-09-24,0.365000,0.365000,0.365000,0.365000,0.365000,0
2020-09-25,0.365000,0.365000,0.365000,0.365000,0.365000,0
2020-09-28,0.365000,0.365000,0.365000,0.365000,0.365000,0
2020-09-29,0.365000,0.365000,0.365000,0.365000,0.365000,0
2020-09-30,0.365000,0.365000,0.365000,0.365000,0.365000,0
2020-10-01,0.365000,0.365000,0.365000,0.365000,0.365000,0
2020-10-02,0.365000,0.365000,0.365000,0.365000,0.365000,0
2020-10-05,0.365000,0.365000,0.365000,0.365000,0.365000,0
2020-10-06,0.365000,0.365000,0.365000,0.365000,0.365000,0
2020-10-07,0.365000,0.365000,0.365000,0.365000,0.365000,0
2020-10-08,0.365000,0.365000,0.365000,0.365000,0.365000,0
2020-10-09,0.365000,0.365000,0.365000,0.365000,0.365000,0
2020-10-12,0.440000,0.440000,0.440000,0.440000,0.440000,1500
2020-10-13,0.440000,0.440000,0.440000,0.440000,0.440000,3500
2020-10-14,0.440000,0.440000,0.440000,0.440000,0.440000,0
2020-10-15,0.440000,0.440000,0.440000,0.440000,0.440000,0
2020-10-16,0.440000,0.440000,0.440000,0.440000,0.440000,0
2020-10-19,0.440000,0.440000,0.440000,0.440000,0.440000,0
2020-10-20,0.380000,0.380000,0.380000,0.380000,0.380000,1000
2020-10-21,0.380000,0.380000,0.380000,0.380000,0.380000,0
2020-10-22,0.380000,0.380000,0.380000,0.380000,0.380000,0
2020-10-23,0.380000,0.380000,0.380000,0.380000,0.380000,0
2020-10-26,0.380000,0.380000,0.380000,0.380000,0.380000,0
2020-10-27,0.380000,0.380000,0.380000,0.380000,0.380000,0
2020-10-28,0.380000,0.380000,0.380000,0.380000,0.380000,0
2020-10-29,0.380000,0.380000,0.380000,0.380000,0.380000,0
2020-10-30,0.380000,0.380000,0.380000,0.380000,0.380000,0
2020-11-02,0.300000,0.300000,0.300000,0.300000,0.300000,100
2020-11-03,0.300000,0.300000,0.300000,0.300000,0.300000,0
2020-11-04,0.300000,0.300000,0.300000,0.300000,0.300000,0
2020-11-05,0.390000,0.390000,0.390000,0.390000,0.390000,2564
2020-11-06,0.390000,0.390000,0.390000,0.390000,0.390000,0
2020-11-09,0.390000,0.390000,0.390000,0.390000,0.390000,0
2020-11-10,0.390000,0.390000,0.390000,0.390000,0.390000,0
2020-11-11,0.390000,0.390000,0.390000,0.390000,0.390000,0
2020-11-12,0.390000,0.390000,0.390000,0.390000,0.390000,0
2020-11-13,0.390000,0.390000,0.390000,0.390000,0.390000,0
2020-11-16,0.390000,0.390000,0.390000,0.390000,0.390000,0
2020-11-17,0.390000,0.390000,0.390000,0.390000,0.390000,0
2020-11-18,0.390000,0.390000,0.390000,0.390000,0.390000,0
2020-11-19,0.390000,0.390000,0.390000,0.390000,0.390000,0
2020-11-20,0.390000,0.390000,0.390000,0.390000,0.390000,0
2020-11-23,0.390000,0.390000,0.390000,0.390000,0.390000,0
2020-11-24,0.390000,0.390000,0.390000,0.390000,0.390000,0
2020-11-25,0.390000,0.390000,0.390000,0.390000,0.390000,0
2020-11-27,0.390000,0.390000,0.390000,0.390000,0.390000,0
2020-11-30,0.390000,0.390000,0.390000,0.390000,0.390000,0
2020-12-01,0.390000,0.390000,0.390000,0.390000,0.390000,0
2020-12-02,0.390000,0.390000,0.390000,0.390000,0.390000,0
2020-12-03,0.390000,0.390000,0.390000,0.390000,0.390000,0
2020-12-04,0.390000,0.390000,0.390000,0.390000,0.390000,0
2020-12-07,0.390000,0.390000,0.390000,0.390000,0.390000,0
2020-12-08,0.390000,0.390000,0.390000,0.390000,0.390000,0
2020-12-09,0.390000,0.390000,0.390000,0.390000,0.390000,0
2020-12-10,0.390000,0.390000,0.390000,0.390000,0.390000,0
2020-12-11,0.390000,0.390000,0.390000,0.390000,0.390000,0
2020-12-14,0.390000,0.390000,0.390000,0.390000,0.390000,0
2020-12-15,0.390000,0.390000,0.390000,0.390000,0.390000,0
2020-12-16,0.380000,0.380000,0.380000,0.380000,0.380000,10000
2020-12-17,0.380000,0.380000,0.380000,0.380000,0.380000,0
2020-12-18,0.380000,0.380000,0.380000,0.380000,0.380000,0
2020-12-21,0.380000,0.380000,0.380000,0.380000,0.380000,0
2020-12-22,0.380000,0.380000,0.380000,0.380000,0.380000,0
2020-12-23,0.380000,0.380000,0.380000,0.380000,0.380000,0
2020-12-24,0.380000,0.380000,0.380000,0.380000,0.380000,250
2020-12-28,0.380000,0.380000,0.380000,0.380000,0.380000,1710
2020-12-29,0.380000,0.380000,0.380000,0.380000,0.380000,1000
2020-12-30,0.380000,0.380000,0.380000,0.380000,0.380000,0
2020-12-31,0.380000,0.380000,0.380000,0.380000,0.380000,0
2021-01-04,0.380000,0.380000,0.380000,0.380000,0.380000,0
2021-01-05,0.380000,0.380000,0.380000,0.380000,0.380000,0
2021-01-06,0.380000,0.380000,0.380000,0.380000,0.380000,500
2021-01-07,0.380000,0.380000,0.380000,0.380000,0.380000,0
2021-01-08,0.380000,0.380000,0.380000,0.380000,0.380000,260
2021-01-11,0.380000,0.380000,0.380000,0.380000,0.380000,0
2021-01-12,0.380000,0.380000,0.380000,0.380000,0.380000,14475
2021-01-13,0.380000,0.380000,0.380000,0.380000,0.380000,0
2021-01-14,0.380000,0.380000,0.380000,0.380000,0.380000,0
2021-01-15,0.380000,0.380000,0.380000,0.380000,0.380000,0
2021-01-19,0.380000,0.380000,0.380000,0.380000,0.380000,0
2021-01-20,0.380000,0.380000,0.380000,0.380000,0.380000,2805
2021-01-21,0.380000,0.380000,0.380000,0.380000,0.380000,0
2021-01-22,0.380000,0.380000,0.380000,0.380000,0.380000,0
2021-01-25,0.380000,0.380000,0.380000,0.380000,0.380000,0
2021-01-26,0.380000,0.380000,0.380000,0.380000,0.380000,0
2021-01-27,0.380000,0.380000,0.380000,0.380000,0.380000,0
2021-01-28,0.380000,0.380000,0.380000,0.380000,0.380000,0
2021-01-29,0.380000,0.380000,0.380000,0.380000,0.380000,0
2021-02-01,0.380000,0.380000,0.380000,0.380000,0.380000,0
2021-02-02,0.380000,0.380000,0.380000,0.380000,0.380000,0
2021-02-03,0.380000,0.380000,0.380000,0.380000,0.380000,0
2021-02-04,0.370000,0.370000,0.370000,0.370000,0.370000,4000
2021-02-05,0.370000,0.370000,0.370000,0.370000,0.370000,0
2021-02-08,0.370000,0.370000,0.370000,0.370000,0.370000,0
2021-02-09,0.370000,0.370000,0.370000,0.370000,0.370000,0
2021-02-10,0.370000,0.370000,0.370000,0.370000,0.370000,0
2021-02-11,0.370000,0.370000,0.370000,0.370000,0.370000,0
2021-02-12,0.370000,0.370000,0.370000,0.370000,0.370000,0
2021-02-16,0.370000,0.370000,0.370000,0.370000,0.370000,260
2021-02-17,0.370000,0.370000,0.370000,0.370000,0.370000,0
2021-02-18,0.370000,0.370000,0.370000,0.370000,0.370000,0
2021-02-19,0.370000,0.370000,0.370000,0.370000,0.370000,0
2021-02-22,0.370000,0.370000,0.370000,0.370000,0.370000,0
2021-02-23,0.370000,0.370000,0.370000,0.370000,0.370000,0
2021-02-24,0.370000,0.370000,0.370000,0.370000,0.370000,0
2021-02-25,0.370000,0.370000,0.370000,0.370000,0.370000,0
2021-02-26,0.370000,0.370000,0.370000,0.370000,0.370000,0
2021-03-01,0.370000,0.370000,0.370000,0.370000,0.370000,0
2021-03-02,0.370000,0.370000,0.370000,0.370000,0.370000,0
2021-03-03,0.370000,0.370000,0.370000,0.370000,0.370000,0
2021-03-04,0.370000,0.370000,0.370000,0.370000,0.370000,0
2021-03-05,0.370000,0.370000,0.370000,0.370000,0.370000,0
