Date,Open,High,Low,Close,Adj Close,Volume
1999-09-22,0.016000,0.016000,0.016000,0.016000,0.016000,0
1999-09-23,0.016000,0.016000,0.016000,0.016000,0.016000,0
1999-09-24,0.016000,0.016000,0.016000,0.016000,0.016000,0
1999-09-27,0.016000,0.016000,0.016000,0.016000,0.016000,0
1999-09-28,0.016000,0.016000,0.016000,0.016000,0.016000,0
1999-09-29,0.010000,0.010000,0.010000,0.010000,0.010000,50000
1999-09-30,0.010000,0.010000,0.010000,0.010000,0.010000,0
1999-10-01,0.010000,0.010000,0.010000,0.010000,0.010000,0
1999-10-04,0.010000,0.010000,0.010000,0.010000,0.010000,0
1999-10-05,0.010000,0.010000,0.010000,0.010000,0.010000,0
1999-10-06,0.010000,0.010000,0.010000,0.010000,0.010000,0
1999-10-07,0.010000,0.010000,0.010000,0.010000,0.010000,0
1999-10-08,0.010000,0.010000,0.010000,0.010000,0.010000,0
1999-10-11,0.010000,0.010000,0.010000,0.010000,0.010000,0
1999-10-12,0.010000,0.010000,0.010000,0.010000,0.010000,0
1999-10-13,0.010000,0.010000,0.010000,0.010000,0.010000,1000
1999-10-14,0.010000,0.010000,0.010000,0.010000,0.010000,0
1999-10-15,0.015000,0.015000,0.015000,0.015000,0.015000,3400
1999-10-18,0.015000,0.015000,0.015000,0.015000,0.015000,0
1999-10-19,0.015000,0.015000,0.015000,0.015000,0.015000,0
1999-10-20,0.015000,0.015000,0.015000,0.015000,0.015000,0
1999-10-21,0.015000,0.015000,0.015000,0.015000,0.015000,0
1999-10-22,0.015000,0.015000,0.015000,0.015000,0.015000,0
1999-10-25,0.010000,0.010000,0.010000,0.010000,0.010000,25000
1999-10-26,0.010000,0.010000,0.010000,0.010000,0.010000,0
1999-10-27,0.010000,0.010000,0.010000,0.010000,0.010000,0
1999-10-28,0.010000,0.010000,0.010000,0.010000,0.010000,0
1999-10-29,0.010000,0.010000,0.010000,0.010000,0.010000,0
1999-11-01,0.010000,0.010000,0.010000,0.010000,0.010000,0
1999-11-02,0.010000,0.010000,0.010000,0.010000,0.010000,0
1999-11-03,0.010000,0.010000,0.010000,0.010000,0.010000,0
1999-11-04,0.010000,0.010000,0.010000,0.010000,0.010000,0
1999-11-05,0.010000,0.010000,0.010000,0.010000,0.010000,0
1999-11-08,0.010000,0.010000,0.010000,0.010000,0.010000,0
1999-11-09,0.010000,0.010000,0.010000,0.010000,0.010000,0
1999-11-10,0.010000,0.010000,0.010000,0.010000,0.010000,0
1999-11-11,0.010000,0.010000,0.010000,0.010000,0.010000,0
1999-11-12,0.010000,0.010000,0.010000,0.010000,0.010000,0
1999-11-15,0.010000,0.010000,0.010000,0.010000,0.010000,0
1999-11-16,0.010000,0.010000,0.010000,0.010000,0.010000,0
1999-11-17,0.010000,0.010000,0.010000,0.010000,0.010000,0
1999-11-18,null,null,null,null,null,null
1999-11-19,0.015000,0.015000,0.015000,0.015000,0.015000,0
1999-11-22,0.015000,0.015000,0.015000,0.015000,0.015000,0
1999-11-23,0.015000,0.015000,0.015000,0.015000,0.015000,0
1999-11-24,0.015000,0.015000,0.015000,0.015000,0.015000,0
1999-11-26,0.015000,0.015000,0.015000,0.015000,0.015000,0
1999-11-29,0.015000,0.015000,0.015000,0.015000,0.015000,0
1999-11-30,0.015000,0.015000,0.015000,0.015000,0.015000,0
1999-12-01,0.015000,0.015000,0.015000,0.015000,0.015000,0
1999-12-02,0.015000,0.015000,0.015000,0.015000,0.015000,0
1999-12-03,0.015000,0.015000,0.015000,0.015000,0.015000,0
1999-12-06,0.015000,0.015000,0.015000,0.015000,0.015000,0
1999-12-07,0.015000,0.015000,0.015000,0.015000,0.015000,0
1999-12-08,0.015000,0.015000,0.015000,0.015000,0.015000,0
1999-12-09,0.015000,0.015000,0.015000,0.015000,0.015000,0
1999-12-10,0.015000,0.015000,0.015000,0.015000,0.015000,0
1999-12-13,0.015000,0.015000,0.015000,0.015000,0.015000,0
1999-12-14,0.015000,0.015000,0.015000,0.015000,0.015000,0
1999-12-15,0.015000,0.015000,0.015000,0.015000,0.015000,0
1999-12-16,0.015000,0.015000,0.015000,0.015000,0.015000,0
1999-12-17,0.015000,0.015000,0.015000,0.015000,0.015000,0
1999-12-20,0.015000,0.015000,0.015000,0.015000,0.015000,0
1999-12-21,0.015000,0.015000,0.015000,0.015000,0.015000,0
1999-12-22,0.015000,0.015000,0.015000,0.015000,0.015000,0
1999-12-23,0.015000,0.015000,0.015000,0.015000,0.015000,0
1999-12-27,0.015000,0.015000,0.015000,0.015000,0.015000,0
1999-12-28,0.015000,0.015000,0.015000,0.015000,0.015000,0
1999-12-29,0.015000,0.015000,0.015000,0.015000,0.015000,0
1999-12-30,0.015000,0.015000,0.015000,0.015000,0.015000,0
1999-12-31,0.015000,0.015000,0.015000,0.015000,0.015000,0
2000-01-03,0.015000,0.015000,0.015000,0.015000,0.015000,0
2000-01-04,0.015000,0.015000,0.015000,0.015000,0.015000,0
2000-01-05,0.015000,0.015000,0.015000,0.015000,0.015000,0
2000-01-06,0.015000,0.015000,0.015000,0.015000,0.015000,0
2000-01-07,0.015000,0.015000,0.015000,0.015000,0.015000,0
2000-01-10,0.015000,0.015000,0.015000,0.015000,0.015000,0
2000-01-11,0.015000,0.015000,0.015000,0.015000,0.015000,0
2000-01-12,0.015000,0.015000,0.015000,0.015000,0.015000,0
2000-01-13,0.015000,0.015000,0.015000,0.015000,0.015000,0
2000-01-14,0.015000,0.015000,0.015000,0.015000,0.015000,0
2000-01-18,0.015000,0.015000,0.015000,0.015000,0.015000,0
2000-01-19,0.015000,0.015000,0.015000,0.015000,0.015000,0
2000-01-20,0.015000,0.015000,0.015000,0.015000,0.015000,0
2000-01-21,0.015000,0.015000,0.015000,0.015000,0.015000,0
2000-01-24,0.015000,0.015000,0.015000,0.015000,0.015000,0
2000-01-25,0.015000,0.015000,0.015000,0.015000,0.015000,0
2000-01-26,0.015000,0.015000,0.015000,0.015000,0.015000,0
2000-01-27,0.015000,0.015000,0.015000,0.015000,0.015000,0
2000-01-28,0.015000,0.015000,0.015000,0.015000,0.015000,0
2000-01-31,0.015000,0.015000,0.015000,0.015000,0.015000,0
2000-02-01,0.015000,0.015000,0.015000,0.015000,0.015000,0
2000-02-02,0.015000,0.015000,0.015000,0.015000,0.015000,5000
2000-02-03,0.015000,0.015000,0.015000,0.015000,0.015000,5000
2000-02-04,0.015000,0.015000,0.015000,0.015000,0.015000,0
2000-02-07,0.015000,0.015000,0.015000,0.015000,0.015000,0
2000-02-08,0.015000,0.015000,0.015000,0.015000,0.015000,0
2000-02-09,0.015000,0.015000,0.015000,0.015000,0.015000,0
2000-02-10,0.015000,0.015000,0.015000,0.015000,0.015000,0
2000-02-11,0.015000,0.015000,0.015000,0.015000,0.015000,0
2000-02-14,0.015000,0.015000,0.015000,0.015000,0.015000,0
2000-02-15,0.015000,0.015000,0.015000,0.015000,0.015000,0
2000-02-16,0.015000,0.015000,0.015000,0.015000,0.015000,0
2000-02-17,0.015000,0.015000,0.015000,0.015000,0.015000,0
2000-02-18,0.015000,0.015000,0.015000,0.015000,0.015000,0
2000-02-22,0.015000,0.015000,0.015000,0.015000,0.015000,0
2000-02-23,0.015000,0.015000,0.015000,0.015000,0.015000,0
2000-02-24,0.015000,0.015000,0.015000,0.015000,0.015000,5000
2000-02-25,0.015000,0.015000,0.015000,0.015000,0.015000,0
2000-02-28,0.015000,0.015000,0.015000,0.015000,0.015000,0
2000-02-29,0.015000,0.015000,0.015000,0.015000,0.015000,0
2000-03-01,0.015000,0.015000,0.015000,0.015000,0.015000,0
2000-03-02,0.015000,0.015000,0.015000,0.015000,0.015000,0
2000-03-03,0.015000,0.015000,0.015000,0.015000,0.015000,0
2000-03-06,0.015000,0.015000,0.015000,0.015000,0.015000,0
2000-03-07,0.015000,0.015000,0.015000,0.015000,0.015000,0
2000-03-08,0.015000,0.015000,0.015000,0.015000,0.015000,0
2000-03-09,0.015000,0.015000,0.015000,0.015000,0.015000,0
2000-03-10,0.015000,0.015000,0.015000,0.015000,0.015000,0
2000-03-13,0.015000,0.015000,0.015000,0.015000,0.015000,0
2000-03-14,0.015000,0.015000,0.015000,0.015000,0.015000,0
2000-03-15,0.015000,0.015000,0.015000,0.015000,0.015000,0
2000-03-16,0.015000,0.015000,0.015000,0.015000,0.015000,0
2000-03-17,0.015000,0.015000,0.015000,0.015000,0.015000,0
2000-03-20,0.015000,0.015000,0.015000,0.015000,0.015000,0
2000-03-21,0.015000,0.015000,0.015000,0.015000,0.015000,0
2000-03-22,0.020000,0.020000,0.010000,0.020000,0.020000,75000
2000-03-23,0.020000,0.020000,0.020000,0.020000,0.020000,0
2000-03-24,0.020000,0.020000,0.020000,0.020000,0.020000,0
2000-03-27,0.020000,0.020000,0.017000,0.020000,0.020000,77500
2000-03-28,0.020000,0.025000,0.020000,0.020000,0.020000,6000
2000-03-29,null,null,null,null,null,null
2000-03-30,0.025000,0.025000,0.025000,0.025000,0.025000,11000
2000-03-31,0.025000,0.025000,0.025000,0.025000,0.025000,0
2000-04-03,0.025000,0.025000,0.025000,0.025000,0.025000,0
2000-04-04,0.025000,0.025000,0.025000,0.025000,0.025000,0
2000-04-05,0.025000,0.025000,0.025000,0.025000,0.025000,0
2000-04-06,0.025000,0.025000,0.025000,0.025000,0.025000,0
2000-04-07,0.025000,0.025000,0.025000,0.025000,0.025000,0
2000-04-10,0.025000,0.025000,0.025000,0.025000,0.025000,0
2000-04-11,0.025000,0.025000,0.025000,0.025000,0.025000,0
2000-04-12,0.025000,0.025000,0.025000,0.025000,0.025000,0
2000-04-13,0.025000,0.025000,0.025000,0.025000,0.025000,0
2000-04-14,0.025000,0.025000,0.025000,0.025000,0.025000,0
2000-04-17,0.025000,0.025000,0.025000,0.025000,0.025000,0
2000-04-18,0.025000,0.025000,0.025000,0.025000,0.025000,0
2000-04-19,0.020000,0.020000,0.017000,0.020000,0.020000,6000
2000-04-20,0.015000,0.015000,0.015000,0.015000,0.015000,30000
2000-04-24,0.015000,0.015000,0.015000,0.015000,0.015000,0
2000-04-25,0.015000,0.015000,0.015000,0.015000,0.015000,0
2000-04-26,0.017000,0.017000,0.017000,0.017000,0.017000,11500
2000-04-27,0.020000,0.020000,0.020000,0.020000,0.020000,6800
2000-04-28,0.020000,0.020000,0.020000,0.020000,0.020000,0
2000-05-01,0.020000,0.020000,0.020000,0.020000,0.020000,0
2000-05-02,0.020000,0.020000,0.020000,0.020000,0.020000,0
2000-05-03,0.017000,0.017000,0.017000,0.017000,0.017000,5000
2000-05-04,0.017000,0.017000,0.017000,0.017000,0.017000,0
2000-05-05,0.017000,0.017000,0.017000,0.017000,0.017000,0
2000-05-08,0.017000,0.017000,0.017000,0.017000,0.017000,0
2000-05-09,0.017000,0.017000,0.017000,0.017000,0.017000,0
2000-05-10,0.017000,0.017000,0.017000,0.017000,0.017000,0
2000-05-11,0.017000,0.017000,0.017000,0.017000,0.017000,0
2000-05-12,0.017000,0.017000,0.017000,0.017000,0.017000,0
2000-05-15,0.017000,0.017000,0.017000,0.017000,0.017000,0
2000-05-16,0.017000,0.017000,0.017000,0.017000,0.017000,0
2000-05-17,0.017000,0.017000,0.017000,0.017000,0.017000,0
2000-05-18,0.017000,0.017000,0.017000,0.017000,0.017000,0
2000-05-19,0.017000,0.017000,0.017000,0.017000,0.017000,0
2000-05-22,0.017000,0.017000,0.017000,0.017000,0.017000,0
2000-05-23,0.017000,0.017000,0.017000,0.017000,0.017000,0
2000-05-24,0.017000,0.017000,0.017000,0.017000,0.017000,0
2000-05-25,0.017000,0.017000,0.017000,0.017000,0.017000,0
2000-05-26,0.017000,0.017000,0.017000,0.017000,0.017000,0
2000-05-30,0.017000,0.017000,0.017000,0.017000,0.017000,0
2000-05-31,0.017000,0.017000,0.017000,0.017000,0.017000,0
2000-06-01,0.017000,0.017000,0.017000,0.017000,0.017000,0
2000-06-02,0.017000,0.017000,0.017000,0.017000,0.017000,0
2000-06-05,0.017000,0.017000,0.017000,0.017000,0.017000,0
2000-06-06,0.017000,0.017000,0.017000,0.017000,0.017000,0
2000-06-07,0.017000,0.017000,0.017000,0.017000,0.017000,0
2000-06-08,0.017000,0.017000,0.017000,0.017000,0.017000,0
2000-06-09,0.017000,0.017000,0.017000,0.017000,0.017000,0
2000-06-12,0.017000,0.017000,0.017000,0.017000,0.017000,0
2000-06-13,0.017000,0.017000,0.017000,0.017000,0.017000,0
2000-06-14,0.017000,0.017000,0.017000,0.017000,0.017000,0
2000-06-15,0.017000,0.017000,0.017000,0.017000,0.017000,0
2000-06-16,0.017000,0.017000,0.017000,0.017000,0.017000,0
2000-06-19,0.017000,0.017000,0.017000,0.017000,0.017000,0
2000-06-20,0.017000,0.017000,0.017000,0.017000,0.017000,0
2000-06-21,0.017000,0.017000,0.017000,0.017000,0.017000,0
2000-06-22,0.017000,0.017000,0.017000,0.017000,0.017000,0
2000-06-23,0.017000,0.017000,0.017000,0.017000,0.017000,0
2000-06-26,0.017000,0.017000,0.017000,0.017000,0.017000,0
2000-06-27,0.017000,0.017000,0.017000,0.017000,0.017000,0
2000-06-28,0.017000,0.017000,0.017000,0.017000,0.017000,0
2000-06-29,0.017000,0.017000,0.017000,0.017000,0.017000,0
2000-06-30,0.017000,0.017000,0.017000,0.017000,0.017000,0
2000-07-03,0.017000,0.017000,0.017000,0.017000,0.017000,0
2000-07-05,0.017000,0.017000,0.017000,0.017000,0.017000,0
2000-07-06,0.017000,0.017000,0.017000,0.017000,0.017000,0
2000-07-07,0.017000,0.017000,0.017000,0.017000,0.017000,0
2000-07-10,0.017000,0.017000,0.017000,0.017000,0.017000,0
2000-07-11,0.017000,0.017000,0.017000,0.017000,0.017000,0
2000-07-12,0.017000,0.017000,0.017000,0.017000,0.017000,0
2000-07-13,0.017000,0.017000,0.017000,0.017000,0.017000,0
2000-07-14,0.017000,0.017000,0.017000,0.017000,0.017000,0
2000-07-17,0.017000,0.017000,0.017000,0.017000,0.017000,0
